,"Thank you for agreeing to participate in our data collection. For this task, you are showing a home organizing robot how to tidy your home by demonstrating your preferred placement locations for each object image. Referring to the home layout we have provided you, please provide 1-3 locations for each object.",,,,,,,,
,,,,,,,,,
,,PLACEMENT 1,,PLACEMENT 2,,PLACEMENT 3,,,
OBJECT ID,IMAGE,ROOM,SURFACE,ROOM,SURFACE,ROOM,SURFACE,,Comments on the image
0423dd6d2cde48b996049c296903c29d,,Kitchen,A,Kitchen,D,,,,
04d0d8204db4400197ea4cc170c7cc15,,Kitchen,D,,,,,,
07677b905390429995a4db49ca142c89,,Bedroom,B,Bedroom,C,,,,
0be224499da94192b4c6a7fc61d21f95,,Kitchen,D,Living Room,E,Bedroom,D,,
0e8c7e8e2d214958b6b87420a308f358,,Home Office,A,Garage,C,,,,
0fbbacb52bde4dbaae1c7a34b2beb9c4,,Kitchen,G,,,,,,
100aba3dbb124819aded5be4ecbf978f,,Home Office,B,Home Office,C,Garage,C,,
10dadee9ce904bc0b2bf18ab35448a6e,,Kitchen,A,Kitchen,C,,,,
127e434667c54313b9a9300404f7f8bd,,Kitchen,C,Kitchen,H,,,,
14f5b8ed45da4450b5c3f606a59e64bd,,Bedroom,B,Bedroom,C,,,,
16cfc1219ace41819a7f4b3292207288,,Bedroom,B,Bedroom,C,,,,
211c6d30db8c4f5682837c2e514b5b39,,Kitchen,C,Kitchen,A,,,,
2862e133001c4443ab727ab70899e6f4,,Living Room,E,Hallway,D,Bedroom,D,,"Unsure what it is, candle holder? I'll go with that"
2877301eda684d2183ca24eaec21cee0,,Home Office,B,Home Office,C,Home Office,A,,
2d47c47f620a4b85911e1312531f43f4,,Kitchen,B,Kitchen,C,,,,
2f4bd3002b2e456c99abee54b488967d,,Bathroom,B,,,,,,
2fbe8ebf76284db0b3c0ffd47e33d597,,Kitchen,G,Kitchen,A,,,,
308d01ccbab5410f93150c70e7a4aa8e,,Bedroom,C,Hallway,Floor,,,,
30c94b4ad3b840d4893336249743b241,,Bedroom,D,,,,,,
32538cc8cfd341e182f169fddd118bff,,Bedroom,C,,,,,,
32c47e171fc54617aef4c5696f27a7a5,,Kitchen,E,,,,,,
33805e7cc2804ea4bab58a5147b4badc,,Bedroom,C,,,,,,
457cf1ce9c254830b59fc113371e5820,,Kitchen,E,,,,,,
4a880b382059426b97e0d389f3ef3f35,,Living Room,B,Hallway,D,Home Office,A,,Not sure what it is. Decoration piece?
4b0f32666d1c4fabbb26aa3ced6b36f4,,Home Office,A,Bedroom,D,,,,
4bed90bdd4714296bf79a28936f48f23,,Home Office,B,Home Office,C,,,,
4c90a2ee69b64f58979f7ce2475f230f,,Bedroom,C,Bedroom,B,,,,
4f3c04a463fa4956b0ca63afd32db727,,Kitchen,A,Kitchen,D,,,,
51fcdf7e23c445f09cda5724423d1066,,Home Office,A,Bedroom,D,,,,
5388f20d16064e1fae2741e1c26c9fa3,,Kitchen,G,Living Room,B,Living Room,E,,
54d1cfdc6ae541729754b6f9be0496f7,,Kitchen,A,,,,,,
572769d3309344e8b4cf6c1cfbb92919,,Living Room,B,,,,,,Not sure what is is. Decoration piece?
5f2c70c450c5487caf6c424f79405256,,Bedroom,D,,,,,,
5f840ebe9af24651b2872cf3cd5ccf99,,Kitchen,B,Kitchen,F,,,,
609dcb31bb24470999707436a04cdb4b,,Garage,,,,,,,
62e99b3760e84e4193857f0d7c1bafdb,,Kitchen,G,,,,,,
67a5956349574fac8431b9b12aad8b81,,Living Room,E,,,,,,
69a5f294a531454a82916e4f2a2d4e62,,Bathroom,C,,,,,,
6b01d76f958b4fb38eb4674ee72e4d88,,Living Room,E,Living Room,B,,,,
71b87a36aeaf41d5be83518c87deb72e,,Kitchen,G,,,,,,
7433fdb49fed4aea9210a841c30aa62c,,Kitchen,A,Home Office,A,,,,
78d7e61da65c4b368074c978e742bdfc,,Kitchen,G,,,,,,
7bd35dbd3363425db41c9e6a391af2ab,,Bathroom,C,,,,,,
7cedf5cdd7894f58bf4cae7f5be9d6ca,,Kitchen,G,,,,,,
7cf2120784bc40bca0a97869e6eb09b3,,Home Office,A,,,,,,
7d31dde76e484a2b89a6f41927276e2a,,Living Room,E,,,,,,
80cd5ef3b9334126ab406945401f26ff,,Kitchen,A,Kitchen,B,Kitchen,C,,
8269198bb7274482a3e077f4f90ae460,,Kitchen,E,,,,,,
82ffa91422dd481ca1cdfc24177ac93f,,Kitchen,B,,,,,,
836aa5c61155474fba05ec15a8a29410,,Home Office,A,,,,,,
83d6defd33734f2da2d81ddc036aa8df,,Kitchen,C,Kitchen,H,,,,
8587d39f1c404c039eb8df77ef1b8114,,Living Room,B,Kitchen,G,Living Room,E,,
85ededce157545e68e51fa87768a08cb,,Kitchen,B,Kitchen,G,,,,
877970b62eeb4f9b8dfeda184bee8e56,,Bedroom,C,,,,,,
878dc8b604264346afd49b976365444c,,Kitchen,A,Kitchen,C,,,,
8faabbd02bb241cc9de6aaac99f7d521,,Home Office,A,Home Office,B,Home Office,C,,
8fbbd263c00f4a659d85963553136738,,Garage,D,Kitchen,C,Bathroom,C,,
9347b9038ed84c899e8d8f6c27790729,,Bedroom,D,,,,,,
95f1afb745b948fd9bac0908b6546d0c,,Kitchen,A,,,,,,
9d02f50339204aceae991da3ae251869,,Kitchen,G,,,,,,
9fd8abfb7e974a00bab3145be9db62a9,,Kitchen,D,,,,,,
a2ce58a7c4a64a42bfb13af2350d18db,,Kitchen,E,,,,,,
a373348973f44a6c9e764605c636af5e,,Kitchen,E,,,,,,
a3f1fa2a50134e549532914adba2cf0a,,Bedroom,D,,,,,,
a6e19d641a2642b4b9ddb68b0c5f3c56,,Kitchen,G,,,,,,
a8a34fd220714700b3cb6afbe7c1134e,,Kitchen,A,Kitchen,D,,,,
a9643e0991d544eca968de7a7f9af140,,Hallway,D,,,,,,"I have no earthly idea what this is, I guess a decoration again?"
ace7c1d271a3434b851bd55c298cc23d,,Kitchen,G,Kitchen,C,,,,Food Processor?
ad93241454534401a44bc18597125e25,,Kitchen,C,Kitchen,H,,,,
ae34f49d98f64fc5aca4a63959838c30,,Kitchen,G,,,,,,
b09de807134b49eeb6e752ac2dc4e853,,Home Office,A,Home Office,B,,,,
b1e7fa44d3cf45e6886219431dcb772d,,Kitchen,C,Kitchen,H,,,,
b3f5fc66d78d4dc7bff8e04cef0ca4a4,,Kitchen,A,Kitchen,B,,,,
b83a6e3fc0e14c33bbebff7d98dcec28,,Bedroom,B,,,,,,
bab05bc7805d4b0dbc2cdcbb48441956,,Kitchen,G,,,,,,
bc001ab61e0145a2b74fc93181171f0c,,Kitchen,A,,,,,,
beb8fb21d45745298c557bd2600c2c4f,,Kitchen,B,Kitchen,G,,,,
bed87049026640a59f3f8b5844614253,,Living Room,B,Home Office,A,,,,
bf7f5cde2a5a45dd98883ecd9be599ad,,Kitchen,G,Kitchen,B,,,,
c1e69b274b9d4b05bcc2761993e3c554,,Bedroom,B,,,,,,
c1f73d85752749be8252622ae03bd3d6,,Kitchen,C,Bathroom,C,,,,
c2a5343bf18949fc8d6815034ec7f87d,,Bedroom,C,,,,,,
c8681df07757457d8cbe61174fe8929c,,Kitchen,G,Kitchen,C,,,,
c86aa2d4c24d43749040b7d3ff667f7d,,Bedroom,C,Bedroom,B,Bedroom,A,,
ca1af864b3f3452b9177b2e2759f439a,,Kitchen,G,Kitchen,C,,,,
